,title,price,rating
0,Mancuerna Hexagonal Caucho 30 Lb (13.5kg) Cross Gym 1 Pza Color Negro,"1,490",4.5
1,Mancuerna Ayara MAN02 negro de 25lb,"1,699",5.0
2,Mancuernas Hexagonal Par 25lbs Pesas Para Ejercicio Caucho Color Negro,"1,187",5.0
3,Mancuerna Pesa De Neopreno 1.5 Kg Alma Metalica 1 Pieza Color Azul,91,4.9
4,Mancuernas De Neopreno| Juego De Pesas De 10 Libras Total | Color Negro,390,5.0
5,Mancuerna Ayara MAN02 negro de 25lb,"1,699",5.0
6,Mancuernas Hexagonal Par 20lbs Pesas Para Ejercicio Caucho Color Negro,954,5.0
7,Mancuerna Pesa De Neopreno 1.5 Kg Alma Metalica 1 Pieza Color Azul,91,4.9
8,Mancuerna Pesa 8 Lb 3.62 Kg Pesa Hexagonal Pro (1 Pesa),231,5.0
9,Par Mancuernas Hexagonal Caucho 20 Lb/9.07 Kg Crossfit Gym Color Negro,"1,193",4.7
10,Mancuernas Ajustables Altera Pesas Rusas Barras Discos 15 Kg Color Azul,847,4.8
11,Mancuerna Pesa 5 Lb 2.26 Kg Pesa Hexagonal Pro (1 Pesa),159,4.9
12,Mancuerna Pesas 2 Lb 0.90 Kg Neopreno 1 Pieza Mancuernas Pro Color Morado,75,-
13,Kit De Mancuernas Pesas Con Barra Discos Ejercicio Gym 20kg Color Azul,"1,249",4.8
14,Kit Mancuernas Y Pesa Rusa Y Barra Recta Ajustable De 15 Kg,639,4.7
15,Mancuernas Pesas Barra Recta Ejercicio Kit Ajustables 20kg,691,4.7
16,Kit Mancuernas Pesas - Barra Discos Ejercicio Gym 30kg/60lb Color Plata,"1,339",4.8
17,"Set Pesas Mancuernas 1, 2, 3 Kg Vinil Con Rack Soporte Color Multicolor",697,4.8
18,Kit De Mancuernas Gym 3 Pares Pesas Para Ejercicio .5 1 2 Kg Color Negro,797,4.9
19,"2 Mancuerna Pesa Gimnasio Hexagonal Caucho De 9 Kg, 20 Lb",899,4.9
20,"Kit De Mancuernas, Barra Con Pesas Para Gimnasio De 20 Kg","1,277",4.8
21,Ayara Kit Pesas Mancuernas Neopreno 3 5 8 Lb Soporte Fitness Color Multicolor,999,5.0
22,Mancuernas Pesas Barra Recta Ejercicio Kit Ajustables 15kg,298,4.7
23,Kit Mancuernas Pesas Barra Recta Ajustables Reforzadas 15 Kg,298,4.8
24,Exercise Adjustable Weight Fitness Kettlebell Barbell,998,4.6
