,titulo,num_reviews,rating
0,100 Days of Code: The Complete Python Pro Bootcamp,272470,4.6869483
1,The Complete Python Bootcamp From Zero to Hero in Python,494363,4.5842066
2,The Complete Python Developer,54000,4.6015058
3,"Python Mega Course: Learn Python in 60 Days, Build 20 Apps",65267,4.6155963
4,Learn Python Programming - Beginner to Master,2696,4.6294956
5,Python for Absolute Beginners,34313,4.4919257
6,Learn Python Programming Masterclass,101298,4.6053414
7,Python for Data Science and Machine Learning Bootcamp,139452,4.579588
8,The Complete Python Course | Learn Python by Doing in 2023,21011,4.589305
9,Python 3: Fundamentals,1522,4.7226014
10,Automate Everything with Python,1739,4.5576725
11,Python PCEP: Become Certified Entry-Level Python Programmer,4773,4.672372
12,Learn to Code with Python,5330,4.6884327
13,Complete Python Bootcamp For Everyone From Zero to Hero 2024,941,4.47129
14,The Modern Python 3 Bootcamp,29264,4.7168984
15,Python 3: Deep Dive (Part 1 - Functional),10873,4.8270807
16,Automate the Boring Stuff with Python Programming,111474,4.645487
17,Python for beginners,24452,4.547658
18,Total Python: You Can Master Python Programming in 16 Days,2807,4.5284557
19,Python Complete Masterclass for Beginners,5046,4.5797544
20,[NEW] Python Bootcamp: Master Python Programming in 2024,338,4.589444
21,Learn Complete Python In Simple Way,5928,4.6573234
22,Data Analysis with Pandas and Python,21309,4.671157
23,"Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2024]",180835,4.5494003
24,Intermediate to Advanced Python with 10 OOP Projects,3113,4.438119
25,Python PCAP: Pass Certified Associate in Python Programming,1106,4.7064114
26,Python for Machine Learning & Data Science Masterclass,14295,4.6734076
27,The Data Science Course: Complete Data Science Bootcamp 2024,135300,4.548087
28,The Complete Guide To Mastering Python In 2024,378,4.7214184
29,Learn Python by creating 10 apps with tkinter,429,4.7723503
30,Python 3: Deep Dive (Part 4 - OOP),2910,4.802846
31,Python Data Structures & Algorithms + LEETCODE Exercises,7421,4.665486
32,Learn Python by making games,1194,4.807843
33,Learn Python & Ethical Hacking From Scratch,18858,4.7215843
34,The Complete Data Structures and Algorithms Course in Python,7895,4.4758563
35,"Python Masterclass: Learn Python From Scratch, Build 23 Apps",7442,4.6244326
36,The Python Bible™ | Everything You Need to Program in Python,50625,4.577728
37,Python Programming For Beginners: Learn Python In 9 Days,251,4.6901865
38,"Machine Learning, Data Science and Generative AI with Python",30500,4.6185403
39,Master Python programming by solving scientific projects,1199,4.7025537
40,Python for Finance: Investment Fundamentals & Data Analytics,26878,4.5478687
41,One Week Python,3119,4.742823
42,"Python 3: Deep Dive (Part 3 - Dictionaries, Sets, JSON)",1577,4.825539
43,Python A-Z™: Python For Data Science With Real Exercises!,27593,4.5721984
44,"Python 3: Deep Dive (Part 2 - Iterators, Generators)",2520,4.8876276
45,Python for Beginners: Easy Python for Beginners Course,428,4.747885
46,The Data Analyst Course: Complete Data Analyst Bootcamp,13941,4.5102677
47,Practice Python with 100 Python Exercises,3380,4.522104
48,Complete Python Programming Masterclass Beginner to Advanced,8718,4.5601807
49,Python 3 Programming A Step By Step Guide for Beginners,333,4.672243
50,Python for Absolute Beginners | Python Beginner to Pro,5305,4.513635
51,2024 Python Data Analysis & Visualization Masterclass,2323,4.6636286
52,Python for Beginners: Learn Python Programming (Python 3),42333,4.53562
53,Python for Absolute Beginners: Learn Python in a Week!,1565,4.523858
54,Build a Backend REST API with Python & Django - Advanced,8047,4.6830244
55,"Complete A.I. & Machine Learning, Data Science Bootcamp",20388,4.622926
56,Python Programming: The Complete Python Bootcamp 2024,1971,4.594967
57,"OpenAI Python API Bootcamp: Learn to use AI, GPT, and more!",2327,4.579075
58,Python Programming Bootcamp,2511,4.567831
59,Learn Advanced Python Programming,936,4.7027917
