descripcion,id,pregunta
"
                When an entry has focus and the keyboard is shown, when i then open the flyoutpage by clicking the burger icon on the top left, the keyboard remains open.
I would like the keyboard to close when i ...
            ",[0],net maui hide keyboard when flyoutpage is shown
,[1],
,[2],
,[3],
,[4],
"
                When an entry has focus and the keyboard is shown, when i then open the flyoutpage by clicking the burger icon on the top left, the keyboard remains open.
I would like the keyboard to close when i ...
            ",[5],net maui hide keyboard when flyoutpage is shown
,[6],
,[7],
,[8],
"
                I'm trying to implement a simple algorithm in PBI, at the end of which I need to calculate a cumulative sum (running total) of a measure (evaluated in memory as I understand it, not in the underlying ...
            ",[9],Cumulative sum (running total) on a measure in DAX is equal to zero
,[10],
,[11],
,[12],
,[13],
"
                I'm trying to implement a simple algorithm in PBI, at the end of which I need to calculate a cumulative sum (running total) of a measure (evaluated in memory as I understand it, not in the underlying ...
            ",[14],Cumulative sum (running total) on a measure in DAX is equal to zero
,[15],
,[16],
,[17],
"
                I am reading Sobell's A Practical Guide to Linux Commands, Editors, and Shell Programming, 4e. Early on he talks about the . and .. and says that they are ""synonymous with the pathnames"" of ...
            ",[18],How does resolution of .. and . proceed in Linux systems?
,[19],
,[20],
,[21],
,[22],
"
                I am reading Sobell's A Practical Guide to Linux Commands, Editors, and Shell Programming, 4e. Early on he talks about the . and .. and says that they are ""synonymous with the pathnames"" of ...
            ",[23],How does resolution of .. and . proceed in Linux systems?
,[24],
,[25],
,[26],
"
                VS 2019 - MVC C# .NET 5 - RE: Tuple
First comment is - Learning MVC and TUPLE comming from a VB.NET history!
Question: When I pass from the Controller back to the View a 4-Tuple, do I need to update ...
            ",[27],Issues with using 4-Tuple on MVC project
,[28],
,[29],
,[30],
,[31],
"
                VS 2019 - MVC C# .NET 5 - RE: Tuple
First comment is - Learning MVC and TUPLE comming from a VB.NET history!
Question: When I pass from the Controller back to the View a 4-Tuple, do I need to update ...
            ",[32],Issues with using 4-Tuple on MVC project
,[33],
,[34],
,[35],
"
                As I said, I'm creating a type of sales banner, and I need some information on this banner, my CourseDescription, which is a component that brings all the course information, and my BuyCourseCard, ...
            ",[36],"Im creating a ""sales banner on react using grid and makStyles, but my card and the other description card are not next to each other"
,[37],
,[38],
,[39],
,[40],
"
                As I said, I'm creating a type of sales banner, and I need some information on this banner, my CourseDescription, which is a component that brings all the course information, and my BuyCourseCard, ...
            ",[41],"Im creating a ""sales banner on react using grid and makStyles, but my card and the other description card are not next to each other"
,[42],
,[43],
,[44],
"
                below if the github yml file i'm using, so basically i'm trying to create a local db so i can my unit tests but somehow i'm getting a 1045 error.  i've tried already using a no password but still ...
            ",[45],"Github Action, getting ERROR 1045 (28000): Access denied for user 'user'@'localhost' (using password: YES)"
,[46],
,[47],
,[48],
,[49],
"
                below if the github yml file i'm using, so basically i'm trying to create a local db so i can my unit tests but somehow i'm getting a 1045 error.  i've tried already using a no password but still ...
            ",[50],"Github Action, getting ERROR 1045 (28000): Access denied for user 'user'@'localhost' (using password: YES)"
,[51],
,[52],
,[53],
"
                I am computing Jina v2 embeddings via the transformers Python libraries and via their API (see https://jina.ai/embeddings/).
With transformers I can run something like
from transformers import ...
            ",[54],Why does local inference differ from the API when computing Jina embeddings?
,[55],
,[56],
,[57],
,[58],
"
                I am computing Jina v2 embeddings via the transformers Python libraries and via their API (see https://jina.ai/embeddings/).
With transformers I can run something like
from transformers import ...
            ",[59],Why does local inference differ from the API when computing Jina embeddings?
,[60],
,[61],
,[62],
"
                I am trying to make a wrapper for C++ to always enforce x app is using dedicated graphics. The issue is I can't figure out how to force Dedicated graphics (Discrete) GPU on Intel Arc. Here is the code ...
            ",[63],Intel Arc Force Dedicated Graphic
,[64],
,[65],
,[66],
,[67],
"
                I am trying to make a wrapper for C++ to always enforce x app is using dedicated graphics. The issue is I can't figure out how to force Dedicated graphics (Discrete) GPU on Intel Arc. Here is the code ...
            ",[68],Intel Arc Force Dedicated Graphic
,[69],
,[70],
,[71],
